Data Zone,Local Authority Code,Health domain 2012 rank,Health domain 2012 score1,"Standardised mortality ratio (ISD, 2007-2010) ","Comparative illness factor: standardised ratio (DWP, 2011)2","Hospital stays related to alcohol misuse: standardised ratio
(ISD, 2007-2010)","Hospital stays related to drug misuse: standardised ratio 
(ISD, 2007-2010)","Emergency stays in hospital: standardised ratio 
(ISD, 2007-2010)","Estimated proportion of population being prescribed drugs for anxiety, depression or psychosis 
(ISD, 2010)","Proportion of live singleton births of low birth weight
(ISD, 2006-2009)",,Notes
S01001736,220,"5,944",-1.17,52,70,29,0,56,0.09,0.12,,
S01001737,220,"6,410",-1.74,26,25,0,0,59,0.09,0.06,,
S01001738,220,"6,149",-1.33,56,30,28,0,57,0.09,0.07,,
S01001739,220,"4,891",-0.62,101,40,32,0,81,0.09,0,,
S01001740,220,"3,781",-0.22,94,80,52,0,90,0.12,0,,
S01001741,220,"1,985",0.45,109,105,82,286,111,0.13,0.08,,
S01001742,220,441,1.30,160,100,252,284,158,0.14,0.12,,
S01001743,220,"1,141",0.82,93,160,126,137,132,0.13,0.13,,
S01001744,220,"4,759",-0.57,83,30,47,43,76,0.13,0.05,,
S01001745,220,"4,903",-0.62,89,60,14,27,79,0.09,0.05,,
S01001746,220,"4,283",-0.39,129,100,43,0,75,0.11,0,,
S01001747,220,"2,356",0.32,92,140,120,97,97,0.13,0.07,,
S01001748,220,"5,543",-0.92,96,35,5,47,74,0.09,0,,
S01001749,220,"1,171",0.81,109,140,179,186,126,0.13,0.08,,
S01001750,220,"3,976",-0.28,79,90,34,43,84,0.13,0,,
S01001751,220,"1,503",0.66,135,120,158,54,120,0.13,0.06,,
S01001752,220,"6,238",-1.42,62,35,12,53,54,0.09,0,,
S01001753,220,684,1.09,133,145,133,248,143,0.14,0.23,,
S01001754,220,"5,889",-1.13,77,30,17,0,64,0.09,0.11,,
S01001755,220,"3,508",-0.11,84,110,39,0,99,0.1,0.04,,
S01001756,220,"5,647",-0.98,84,95,5,0,67,0.09,0,,
S01001757,220,"2,158",0.39,86,95,169,97,111,0.13,0,,
S01001758,220,"4,403",-0.43,86,95,83,0,74,0.09,0.06,,
S01001759,220,966,0.92,120,140,262,106,129,0.14,0.05,,
S01001760,220,"1,608",0.61,136,95,242,118,107,0.13,0.2,,
S01001761,220,"1,100",0.84,151,145,146,0,136,0.13,0.13,,
S01001762,220,"2,661",0.20,105,170,52,0,107,0.1,0.03,,
S01001763,220,"6,155",-1.34,54,25,39,0,58,0.09,0,,
S01001764,220,"6,139",-1.32,67,25,6,0,65,0.1,0,,
S01001765,220,"1,631",0.61,118,165,109,87,117,0.13,0,,
S01001766,220,"4,980",-0.66,82,50,48,0,71,0.1,0.18,,
S01001767,220,"6,041",-1.24,59,60,5,0,62,0.09,0.07,,
S01001768,220,"4,734",-0.56,85,40,129,44,70,0.1,0,,
S01001769,220,"5,322",-0.80,49,75,29,0,70,0.09,0.13,,
S01001770,220,366,1.36,183,110,402,181,156,0.14,0.04,,
S01001771,220,"3,759",-0.21,97,90,45,0,90,0.1,0.07,,
S01001772,220,"1,440",0.69,114,115,151,0,140,0.09,0.19,,
S01001773,220,"2,114",0.41,101,140,152,213,103,0.1,0.03,,
S01001774,220,"5,776",-1.06,50,40,30,0,66,0.1,0,,
S01001775,220,"5,983",-1.20,68,70,4,35,59,0.09,0.11,,
S01001776,220,"2,089",0.42,98,120,106,71,110,0.14,0.05,,
S01001777,220,"5,882",-1.13,56,60,12,0,63,0.09,0.09,,
S01001778,220,771,1.03,154,210,189,305,121,0.14,0.08,,
S01001779,220,"4,956",-0.64,70,50,98,0,71,0.09,0.07,,
S01001780,220,"1,662",0.59,157,135,109,156,110,0.12,0.1,,
S01001781,220,"5,774",-1.06,67,40,10,0,69,0.09,0.1,,
S01001782,220,"4,490",-0.46,62,95,24,34,81,0.09,0.08,,
S01001783,220,164,1.66,226,130,320,393,177,0.14,0.05,,
S01001784,220,"2,756",0.16,78,85,112,47,110,0.09,0.04,,
S01001785,220,"4,722",-0.55,79,40,23,0,84,0.13,0.06,,
S01001786,220,"4,632",-0.52,161,60,49,0,68,0.13,0.03,,
S01001787,220,"4,913",-0.63,89,45,33,0,76,0.13,0,,
S01001788,220,"4,455",-0.45,171,65,30,0,71,0.13,0.1,,
S01001789,220,"1,734",0.56,107,125,80,322,111,0.17,0.04,,
S01001790,230,"5,765",-1.05,72,30,29,0,69,0.06,0.05,,
S01001791,230,"6,334",-1.56,59,35,8,0,55,0.06,0.12,,
S01001792,230,"4,806",-0.58,66,55,28,37,84,0.07,0,,
S01001793,230,"3,741",-0.20,89,65,95,105,87,0.07,0.03,,
S01001794,230,"3,573",-0.13,98,85,56,126,89,0.07,0.11,,
S01001795,230,"6,421",-1.76,26,35,27,0,49,0.06,0,,
S01001796,230,"5,751",-1.04,57,35,15,0,76,0.06,0,,
S01001797,230,"3,670",-0.17,81,80,54,73,92,0.07,0.1,,
S01001798,230,"6,301",-1.52,51,25,17,0,56,0.07,0.08,,
S01001799,230,"1,019",0.88,91,185,135,245,139,0.09,0.09,,
S01001800,230,"5,179",-0.74,68,45,19,0,82,0.07,0.07,,
S01001801,230,"6,313",-1.54,26,45,6,29,57,0.07,0.04,,
S01001802,230,"4,604",-0.51,48,60,51,103,78,0.1,0.05,,
S01001803,230,"5,915",-1.15,38,65,19,50,59,0.09,0.06,,
S01001804,230,"4,052",-0.30,93,85,81,67,75,0.1,0.06,,
S01001805,230,"3,242",-0.01,90,65,63,33,109,0.07,0.08,,
S01001806,230,"5,688",-1.00,55,45,47,0,67,0.07,0,,
S01001807,230,"4,449",-0.45,94,55,79,0,81,0.07,0.08,,
S01001808,230,"3,669",-0.17,78,80,50,41,91,0.09,0.14,,
S01001809,230,541,1.19,127,170,379,112,149,0.09,0.06,,
S01001810,230,"5,847",-1.10,58,60,14,0,65,0.08,0.03,,
S01001811,230,"6,255",-1.44,59,20,4,0,67,0.07,0,,
S01001812,230,"6,447",-1.83,53,20,18,0,49,0.06,0,,
S01001813,230,"6,156",-1.34,78,40,13,0,57,0.08,0.05,,
S01001814,230,"5,477",-0.89,75,35,34,27,70,0.07,0.02,,
S01001815,230,"4,950",-0.64,86,50,23,80,78,0.07,0,,
S01001816,230,"6,292",-1.51,53,35,21,0,54,0.06,0.05,,
S01001817,230,"1,768",0.54,98,130,111,160,124,0.1,0,,
S01001818,230,"6,266",-1.47,54,40,16,50,53,0.06,0.04,,
S01001819,230,"6,445",-1.82,58,35,15,34,43,0.06,0,,
S01001820,230,"1,060",0.86,108,135,117,318,146,0.09,0.02,,
S01001821,230,"4,347",-0.41,70,30,33,0,105,0.09,0.03,,
S01001822,230,"4,860",-0.61,55,80,48,26,73,0.09,0.06,,
S01001823,230,484,1.25,115,165,258,533,153,0.09,0.15,,
S01001824,230,"3,594",-0.14,99,85,49,122,88,0.08,0.11,,
S01001825,230,"6,133",-1.32,38,40,17,0,61,0.08,0.07,,
S01001826,230,"1,298",0.75,96,125,223,156,127,0.1,0.14,,
S01001827,230,"2,127",0.40,114,125,113,143,108,0.1,0.06,,
S01001828,230,"6,402",-1.71,44,15,13,0,57,0.06,0,,
S01001829,230,"4,736",-0.56,90,70,52,0,76,0.07,0.08,,
S01001830,230,"6,119",-1.30,39,35,65,0,58,0.06,0.04,,
S01001831,230,"3,552",-0.12,83,85,93,92,87,0.09,0.04,,
S01001832,230,"2,004",0.45,99,135,44,40,131,0.1,0.02,,
S01001833,230,"6,422",-1.77,49,40,11,0,48,0.06,0.07,,
S01001834,230,"2,266",0.35,80,110,84,128,116,0.1,0.11,,
S01001835,230,"6,458",-1.87,65,25,9,0,46,0.07,0.03,,
S01001836,230,"5,635",-0.97,113,70,14,0,65,0.07,0,,
S01001837,230,"6,330",-1.56,49,40,20,63,50,0.06,0,,
S01001838,230,"3,908",-0.25,76,85,41,141,83,0.1,0.09,,
S01001839,230,601,1.15,136,160,237,176,154,0.09,0.02,,
S01001840,230,"6,107",-1.29,45,30,52,0,59,0.07,0.04,,
S01001841,230,"5,023",-0.67,77,50,53,27,71,0.09,0.04,,
S01001842,230,"5,993",-1.21,137,45,15,0,55,0.09,0.02,,
S01001843,230,"1,493",0.66,99,115,335,217,115,0.09,0.12,,
S01001844,230,"6,347",-1.58,56,70,29,15,44,0.05,0.07,,
S01001845,230,"6,222",-1.40,38,30,48,64,54,0.06,0.03,,
S01001846,230,"5,937",-1.17,37,30,60,0,65,0.06,0.05,,
S01001847,230,"1,082",0.85,61,150,245,471,131,0.1,0.14,,
S01001848,230,"1,041",0.87,137,120,354,158,126,0.09,0.12,,
S01001849,230,"6,382",-1.65,65,25,14,53,50,0.06,0,,
S01001850,230,"4,464",-0.46,85,45,95,0,81,0.09,0.04,,
S01001851,230,"5,052",-0.69,98,80,31,0,68,0.1,0.07,,
S01001852,230,"6,357",-1.60,64,40,11,0,49,0.09,0.08,,
S01001853,230,"5,932",-1.16,49,50,44,0,61,0.06,0.04,,
S01001854,230,"3,112",0.04,88,145,76,11,98,0.07,0.02,,
S01001855,230,"5,797",-1.07,105,35,40,0,59,0.09,0.04,,
S01001856,230,"2,091",0.42,102,155,201,117,98,0.09,0.1,,
S01001857,230,"1,465",0.67,169,105,119,295,121,0.11,0.03,,
S01001858,230,"4,011",-0.29,123,140,60,0,76,0.09,0,,
S01001859,230,"1,696",0.57,133,165,112,98,114,0.1,0.05,,
S01001860,230,"6,423",-1.77,50,35,17,0,48,0.06,0,,
S01001861,230,"2,529",0.25,74,120,183,126,98,0.09,0.08,,
S01001862,230,"6,319",-1.54,49,35,0,36,57,0.1,0.06,,
S01001863,230,"5,333",-0.81,49,40,41,0,75,0.1,0.03,,
S01001864,230,519,1.21,128,200,178,263,144,0.14,0.1,,
S01001865,230,720,1.06,98,140,152,519,147,0.14,0.05,,
S01001866,230,"6,225",-1.40,58,20,17,0,60,0.07,0.14,,
S01001867,230,"1,871",0.50,129,100,81,88,122,0.11,0.08,,
S01001868,230,"2,554",0.24,208,110,53,0,112,0.08,0,,
S01001869,230,"5,478",-0.89,63,50,15,0,72,0.1,0.07,,
S01001870,230,748,1.05,110,165,216,315,140,0.11,0.08,,
S01001871,230,"3,859",-0.24,85,120,47,83,83,0.08,0,,
S01001872,230,"2,017",0.44,166,145,70,211,102,0.11,0.05,,
S01001873,230,"5,901",-1.14,99,75,33,42,51,0.08,0,,
S01001874,230,740,1.05,132,145,224,449,130,0.14,0.12,,
S01001875,230,"6,369",-1.63,83,30,7,42,50,0.07,0,,
S01001876,230,"1,555",0.64,114,155,171,118,117,0.1,0.05,,
S01001877,230,798,1.01,88,190,206,417,133,0.14,0.02,,
S01001878,230,"6,373",-1.63,53,30,38,35,47,0.06,0,,
S01001879,230,389,1.34,164,145,286,801,147,0.11,0.14,,
S01001880,230,744,1.05,82,145,197,638,140,0.14,0.1,,
S01001881,230,"5,532",-0.92,48,40,40,0,72,0.08,0.03,,
S01001882,230,"3,222",0.00,70,60,86,145,100,0.1,0.08,,
S01001883,230,"6,472",-1.94,46,15,29,0,43,0.07,0.05,,
S01001884,230,"1,074",0.85,95,170,181,380,128,0.1,0.1,,
S01001885,230,"6,008",-1.22,49,65,11,0,61,0.08,0.11,,
S01001886,230,634,1.13,132,160,346,169,135,0.14,0.05,,
S01001887,230,"4,157",-0.34,85,80,81,96,78,0.06,0.11,,
S01001888,230,"5,306",-0.80,53,35,40,109,71,0.09,0.04,,
S01001889,230,"4,622",-0.51,72,50,66,0,83,0.09,0,,
S01001890,230,"2,033",0.44,83,100,174,138,111,0.13,0.02,,
S01001891,230,"1,761",0.54,102,105,188,176,119,0.09,0.05,,
S01001892,230,"1,329",0.73,83,175,215,179,115,0.14,0.06,,
S01001893,230,"1,424",0.69,105,145,209,379,111,0.13,0.03,,
S01001894,230,444,1.29,143,145,315,436,143,0.14,0.17,,
S01001895,230,"3,026",0.07,86,110,111,81,92,0.1,0.03,,
S01001896,230,"6,440",-1.81,67,25,23,33,41,0.06,0.07,,
S01001897,230,520,1.21,100,160,233,964,141,0.14,0.13,,
S01001898,230,"1,274",0.76,143,145,129,142,125,0.13,0,,
S01001899,230,"3,983",-0.28,65,60,49,27,88,0.13,0.07,,
S01001900,230,"3,403",-0.06,116,95,57,33,90,0.1,0.04,,
S01001901,230,"5,607",-0.95,79,85,30,71,59,0.07,0,,
S01001902,230,"6,260",-1.45,60,20,25,21,57,0.06,0.02,,
S01001903,230,"2,217",0.37,99,80,131,175,117,0.09,0.03,,
S01001904,230,190,1.62,143,125,553,421,177,0.11,0.04,,
S01001905,230,"6,386",-1.66,59,30,26,0,49,0.06,0.03,,
S01001906,230,64,1.99,256,170,253,453,210,0.12,0.03,,
S01001907,230,890,0.96,123,145,104,33,159,0.09,0.12,,
S01001908,230,"5,845",-1.10,57,70,19,0,63,0.06,0.1,,
S01001909,230,"1,621",0.61,94,120,199,209,111,0.13,0.14,,
S01001910,230,"4,686",-0.54,42,60,44,46,77,0.12,0.1,,
S01001911,230,"6,477",-1.99,57,25,16,0,40,0.07,0,,
S01001912,230,"3,680",-0.17,58,55,82,130,89,0.12,0.08,,
S01001913,230,"5,838",-1.10,67,45,16,0,64,0.1,0.03,,
S01001914,230,"6,328",-1.56,41,30,77,51,46,0.07,0,,
S01001915,230,"6,123",-1.31,64,45,20,57,52,0.09,0.09,,
S01001916,230,"5,549",-0.93,46,50,76,17,66,0.06,0.03,,
S01001917,230,"6,299",-1.52,142,40,5,0,50,0.06,0.12,,
S01001918,230,"5,458",-0.88,120,60,65,69,57,0.06,0.06,,
S01001919,230,"3,266",-0.01,99,65,72,0,104,0.11,0.06,,
S01001920,230,"3,208",0.00,115,85,55,157,97,0.08,0,,
S01001921,230,"2,024",0.44,87,120,105,225,112,0.11,0.11,,
S01001922,230,"5,690",-1.00,52,40,55,170,62,0.06,0.03,,
S01001923,230,"2,499",0.26,97,60,72,207,113,0.11,0.13,,
S01001924,230,"5,921",-1.15,69,45,18,0,63,0.07,0.05,,
S01001925,230,"6,351",-1.59,55,30,0,0,62,0.07,0,,
S01001926,230,693,1.08,172,100,145,248,151,0.12,0.13,,
S01001927,230,"5,363",-0.83,109,90,18,30,64,0.07,0.03,,
S01001928,230,"2,063",0.43,199,135,137,42,108,0.06,0.03,,
S01001929,230,"6,449",-1.83,29,60,14,0,44,0.07,0,,
S01001930,230,"4,909",-0.63,116,55,46,0,75,0.06,0.05,,
S01001931,230,743,1.05,154,145,286,126,135,0.12,0.06,,
S01001932,230,"1,428",0.69,74,180,83,488,129,0.11,0,,
S01001933,230,"5,789",-1.07,77,45,21,0,63,0.08,0.1,,
S01001934,230,"2,913",0.11,109,125,52,26,101,0.09,0.08,,
S01001935,230,93,1.86,161,240,477,562,175,0.13,0.04,,
S01001936,230,"5,345",-0.81,66,90,39,57,63,0.07,0.05,,
S01001937,230,"2,398",0.30,106,140,69,153,105,0.1,0.04,,
S01001938,230,"4,958",-0.64,191,45,14,22,75,0.06,0.08,,
S01001939,230,"5,378",-0.84,77,30,22,61,76,0.06,0.05,,
S01001940,230,"3,939",-0.27,108,50,129,45,81,0.08,0.04,,
S01001941,230,"6,219",-1.39,52,35,54,50,50,0.07,0.04,,
S01001942,230,"6,228",-1.41,65,40,50,0,52,0.06,0,,
S01001943,230,"2,461",0.27,114,85,58,110,114,0.11,0.03,,
S01001944,230,"3,615",-0.15,187,75,81,51,81,0.06,0.09,,
S01001945,230,"6,064",-1.25,121,60,8,0,56,0.07,0.07,,
S01001946,230,417,1.31,123,155,318,230,154,0.12,0.16,,
S01001947,230,"4,777",-0.57,100,80,31,0,78,0.07,0,,
S01001948,230,498,1.23,117,180,230,440,145,0.13,0.11,,
S01001949,230,"1,495",0.66,117,115,148,219,121,0.1,0.19,,
S01001950,230,"3,254",-0.01,103,75,105,16,93,0.1,0.09,,
S01001951,230,"1,057",0.86,156,205,140,237,117,0.1,0.21,,
S01001952,230,"6,087",-1.27,51,30,27,0,63,0.07,0,,
S01001953,230,"6,242",-1.43,52,45,15,0,58,0.06,0,,
S01001954,230,"3,559",-0.12,68,45,81,141,98,0.09,0.08,,
S01001955,230,"1,170",0.81,112,175,159,98,132,0.1,0.02,,
S01001956,230,708,1.07,124,150,160,171,145,0.13,0.15,,
S01001957,230,658,1.11,83,110,194,234,160,0.13,0.15,,
S01001958,230,"1,549",0.64,186,150,164,61,112,0.1,0.03,,
S01001959,230,"2,851",0.13,105,75,86,41,105,0.08,0.2,,
S01001960,230,"5,784",-1.06,62,40,38,62,59,0.08,0.1,,
S01001961,230,"6,374",-1.63,66,35,19,0,48,0.08,0.01,,
S01001962,230,"1,092",0.84,119,105,263,80,132,0.12,0.1,,
S01001963,230,"3,259",-0.01,147,60,151,124,83,0.09,0.07,,
S01001964,230,"5,878",-1.13,50,30,34,0,64,0.09,0.11,,
S01001965,230,"1,759",0.54,104,130,126,146,117,0.1,0.12,,
S01001966,230,849,0.98,121,260,155,115,127,0.13,0.04,,
S01001967,230,"5,056",-0.69,42,35,61,46,77,0.09,0.06,,
S01001968,230,"4,796",-0.58,120,95,43,0,70,0.08,0,,
S01001969,230,"2,839",0.13,90,85,93,192,99,0.1,0.05,,
S01001970,230,"6,398",-1.70,56,40,8,43,49,0.06,0,,
S01001971,230,"1,190",0.80,137,155,194,77,125,0.1,0.09,,
S01001972,230,"6,233",-1.42,64,25,56,0,53,0.08,0,,
S01001973,230,"4,630",-0.52,56,35,77,0,87,0.09,0.07,,
S01001974,230,"6,244",-1.43,111,40,18,0,51,0.06,0.06,,
S01001975,230,"5,663",-0.99,58,50,29,0,70,0.06,0,,
S01001976,230,"5,343",-0.81,66,50,35,0,71,0.08,0.1,,
S01001977,230,"1,397",0.70,112,185,89,179,127,0.09,0.07,,
S01001978,230,226,1.57,126,260,289,440,160,0.13,0.04,,
S01001979,230,"6,063",-1.25,79,35,63,0,56,0.06,0,,
S01001980,230,"6,280",-1.49,27,35,43,30,50,0.09,0.06,,
S01001981,230,"6,214",-1.39,39,40,41,0,54,0.08,0.06,,
S01001982,230,"3,372",-0.05,22,95,234,140,87,0.13,0,,
S01001983,230,"6,480",-2.01,63,20,13,20,37,0.07,0.07,,
S01001984,230,"3,004",0.07,88,115,110,54,94,0.09,0.04,,
S01001985,230,"4,650",-0.53,84,60,60,84,72,0.09,0.04,,
S01001986,230,"6,249",-1.44,58,15,78,13,50,0.08,0.16,,
S01001987,230,"6,428",-1.78,43,25,87,0,43,0.05,0.04,,
S01001988,230,"3,035",0.06,54,65,246,57,100,0.09,0.03,,
S01001989,230,"5,859",-1.11,62,60,16,32,59,0.1,0.03,,
S01001990,230,"6,454",-1.85,65,15,24,0,47,0.05,0.05,,
S01001991,230,"3,303",-0.03,100,50,103,0,107,0.09,0.05,,
S01001992,230,"6,169",-1.35,55,50,83,125,43,0.1,0.03,,
S01001993,230,"6,210",-1.38,48,40,42,0,54,0.07,0.04,,
S01001994,230,"6,020",-1.22,62,30,46,33,56,0.08,0.06,,
S01001995,230,"6,289",-1.50,86,30,18,0,50,0.09,0.07,,
S01001996,230,"6,485",-2.03,39,20,45,0,39,0.05,0,,
S01001997,230,"3,351",-0.05,72,105,75,41,93,0.09,0.11,,
S01001998,230,"5,174",-0.74,84,35,20,27,77,0.09,0.04,,
S01001999,230,"6,496",-2.23,39,5,29,0,38,0.05,0.06,,
S01002000,230,"2,581",0.23,74,100,188,169,97,0.11,0.03,,
S01002001,230,"5,820",-1.08,80,45,104,29,52,0.09,0.03,,
S01002002,230,"6,505",-2.75,9,5,16,0,22,0.05,0,,
S01002003,230,"3,882",-0.25,67,85,59,26,89,0.1,0.02,,
S01002004,230,"6,136",-1.32,112,55,40,74,43,0.08,0.09,,
S01002005,230,"2,327",0.33,90,155,102,135,101,0.1,0.09,,
S01002006,230,"4,949",-0.64,48,65,72,101,69,0.1,0.02,,
S01002007,230,"5,328",-0.81,101,50,64,85,61,0.08,0.02,,
S01002008,230,"6,346",-1.58,64,20,12,0,58,0.06,0,,
S01002009,230,"6,411",-1.74,44,30,50,0,44,0.06,0.07,,
S01002010,230,"6,498",-2.33,37,15,12,0,34,0.05,0.05,,
S01002011,230,"5,822",-1.09,21,35,57,71,64,0.08,0.02,,
S01002012,230,"6,268",-1.47,47,25,8,13,61,0.07,0.03,,
S01002013,230,"6,388",-1.67,55,35,23,0,47,0.07,0.06,,
S01002014,230,"5,611",-0.95,144,35,44,18,60,0.07,0.03,,
S01002015,230,"6,140",-1.32,58,45,23,0,57,0.08,0,,
S01002016,230,"6,488",-2.08,31,20,23,0,38,0.08,0.04,,
S01002017,230,53,2.05,153,360,371,1079,181,0.11,0.06,,
S01002018,230,"5,134",-0.72,80,50,58,0,71,0.08,0.05,,
S01002019,230,"6,494",-2.21,27,10,34,0,36,0.05,0.11,,
S01002020,230,"6,497",-2.23,21,5,51,23,33,0.05,0.13,,
S01002021,230,"1,972",0.46,138,150,119,109,102,0.1,0.14,,
S01002022,230,"3,602",-0.14,99,90,41,0,101,0.08,0.02,,
S01002023,230,"6,383",-1.65,56,15,26,0,54,0.06,0,,
S01002024,230,"5,968",-1.18,71,25,49,0,62,0.06,0.05,,
S01002025,230,"3,792",-0.22,141,65,100,48,79,0.08,0.03,,
S01002026,230,"5,592",-0.95,56,40,40,0,70,0.08,0,,
S01002027,230,"6,038",-1.23,70,30,41,0,61,0.06,0,,
S01002028,230,"6,481",-2.02,65,30,21,16,35,0.04,0,,
S01002029,230,"6,501",-2.44,17,10,19,17,31,0.05,0,,
S01002030,230,"5,790",-1.07,47,50,32,63,60,0.08,0.11,,
S01002031,230,"5,499",-0.90,59,65,54,51,59,0.09,0.13,,
S01002032,230,"5,934",-1.17,47,60,47,0,58,0.07,0.06,,
S01002033,230,"4,432",-0.44,73,100,76,12,73,0.09,0.06,,
S01002034,230,"6,275",-1.48,82,45,35,30,45,0.07,0.04,,
S01002035,230,"5,200",-0.75,97,35,9,36,78,0.08,0.18,,
S01002036,230,"4,574",-0.49,83,75,125,47,67,0.09,0.07,,
S01002037,230,"6,438",-1.81,53,30,33,0,43,0.07,0,,
S01002038,230,"6,491",-2.11,47,10,20,20,40,0.05,0.05,,
S01002039,230,"5,428",-0.86,57,50,38,0,70,0.1,0,,
S01002040,230,"3,833",-0.23,90,45,60,49,95,0.08,0.04,,
S01002041,230,"3,798",-0.22,166,55,134,69,77,0.06,0.07,,
S01002042,230,"3,511",-0.11,85,160,40,34,90,0.08,0,,
S01002043,230,"4,402",-0.43,97,60,26,0,90,0.08,0.04,,
S01002044,230,987,0.90,138,115,182,355,135,0.11,0.06,,
S01002045,230,"2,980",0.08,154,150,62,0,94,0.08,0.03,,
S01002046,230,"2,968",0.09,150,85,147,152,86,0.08,0.04,,
S01002047,230,"3,665",-0.17,107,95,84,37,88,0.06,0,,
S01002048,230,"6,167",-1.34,75,25,32,0,56,0.06,0.22,,
S01002049,230,"5,195",-0.75,79,75,57,96,62,0.08,0.04,,
S01002050,230,"4,776",-0.57,58,80,67,40,71,0.1,0,,
S01002051,230,"1,174",0.81,117,160,125,110,136,0.1,0.05,,
S01002052,230,"3,238",0.00,115,80,149,94,87,0.08,0.03,,
S01002053,230,"6,470",-1.93,27,25,32,27,40,0.06,0.09,,
S01002054,230,"6,404",-1.72,46,35,16,16,47,0.08,0,,
S01002055,230,"6,239",-1.42,73,55,7,0,54,0.1,0,,
S01002056,230,"2,737",0.17,86,105,125,27,106,0.08,0.07,,
S01002057,230,"5,309",-0.80,84,50,58,30,65,0.08,0.04,,
S01002058,230,"4,237",-0.37,84,95,112,103,70,0.07,0.13,,
S01002059,230,"3,659",-0.17,137,85,154,201,71,0.08,0.06,,
S01002060,230,"5,207",-0.75,116,30,81,151,65,0.07,0,,
S01002061,230,"5,819",-1.08,97,55,49,15,54,0.07,0.08,,
S01002062,230,"1,371",0.71,112,105,223,183,122,0.11,0.14,,
S01002063,230,"4,861",-0.61,73,85,92,24,69,0.06,0.05,,
S01002064,230,"5,059",-0.69,107,95,97,55,58,0.08,0.02,,
S01002065,230,"6,426",-1.78,57,50,12,0,43,0.08,0.04,,
S01002066,230,"4,038",-0.30,171,75,108,0,73,0.08,0.12,,
S01002067,230,"4,053",-0.30,75,80,68,0,88,0.08,0.08,,
S01002068,230,"3,321",-0.03,130,95,137,210,78,0.08,0.06,,
S01002069,230,"4,770",-0.57,118,65,5,392,78,0.08,0,,
S01002070,230,"5,077",-0.70,117,60,92,20,61,0.09,0.06,,
S01002071,230,"4,641",-0.52,110,40,38,34,79,0.08,0.07,,
S01002072,230,"5,010",-0.67,89,70,48,0,72,0.08,0,,
S01002073,230,"3,383",-0.06,164,90,183,98,74,0.08,0.06,,
S01002074,230,"5,959",-1.18,73,45,27,0,58,0.1,0,,
S01002075,230,"5,259",-0.77,54,65,53,29,67,0.08,0.1,,
S01002076,230,"3,126",0.03,104,85,135,162,91,0.07,0.03,,
S01002077,230,"4,885",-0.62,61,40,78,94,75,0.08,0,,
S01002078,230,"5,618",-0.96,81,75,36,23,59,0.08,0.03,,
S01002079,230,"4,306",-0.40,52,105,143,51,73,0.07,0.06,,
S01002080,230,"5,071",-0.70,53,60,61,0,71,0.11,0.05,,
S01002081,230,"3,963",-0.27,65,70,40,46,95,0.07,0.09,,
S01002082,230,"4,704",-0.55,85,65,29,17,77,0.08,0.15,,
S01002083,230,"1,611",0.61,107,120,130,222,124,0.1,0.05,,
S01002084,230,"6,128",-1.31,50,55,66,11,49,0.08,0.09,,
S01002085,230,"5,849",-1.10,126,45,86,93,50,0.06,0,,
S01002086,230,"4,352",-0.41,66,65,87,150,75,0.08,0.1,,
S01002087,230,"2,565",0.24,97,155,131,208,90,0.09,0.07,,
S01002088,230,"4,083",-0.31,80,85,83,0,85,0.09,0,,
S01002089,230,"5,673",-0.99,60,50,31,0,65,0.08,0.1,,
S01002090,230,"3,317",-0.03,77,145,68,30,90,0.09,0.07,,
S01002091,230,"4,826",-0.59,153,65,145,75,61,0.06,0,,
S01002092,230,"4,448",-0.44,298,80,11,0,78,0.08,0.04,,
S01002093,230,"5,229",-0.76,68,85,108,97,55,0.11,0.08,,
S01002094,230,"3,531",-0.11,91,75,115,88,86,0.1,0,,
S01002095,230,"6,338",-1.56,77,60,19,38,43,0.08,0,,
S01002096,230,"6,282",-1.49,53,40,8,0,57,0.08,0.02,,
S01002097,230,"5,442",-0.87,108,50,15,0,67,0.11,0.06,,
S01002098,230,"3,145",0.03,86,100,71,177,92,0.1,0.06,,
S01002099,230,"6,197",-1.38,76,30,38,13,51,0.08,0.05,,
S01002100,230,"4,485",-0.46,77,65,37,76,76,0.1,0.14,,
S01002101,230,"1,233",0.78,138,180,232,254,109,0.11,0.08,,
S01002102,230,"1,819",0.52,86,80,200,145,123,0.1,0.07,,
S01002103,230,"5,723",-1.03,64,40,57,0,61,0.08,0.15,,
S01002104,230,"1,748",0.55,87,205,124,187,110,0.08,0.18,,
S01002105,230,"5,958",-1.18,88,40,15,27,59,0.07,0.09,,
S01002106,230,"4,313",-0.40,157,55,126,64,67,0.08,0.1,,
S01002107,230,"4,955",-0.64,70,30,32,239,77,0.1,0,,
S01002108,230,"2,453",0.28,128,90,293,242,90,0.06,0.15,,
S01002109,230,"5,584",-0.94,58,50,60,56,62,0.07,0.03,,
S01002110,230,"6,056",-1.25,70,15,58,34,56,0.08,0.16,,
S01002111,230,"5,978",-1.19,44,55,19,32,60,0.08,0.03,,
S01002112,230,"3,542",-0.12,87,75,152,68,85,0.08,0.05,,
S01002113,230,"5,211",-0.75,76,45,37,0,76,0.08,0,,
S01002114,230,"6,371",-1.63,51,20,5,0,58,0.08,0.04,,
S01002115,230,"6,358",-1.61,51,25,31,14,49,0.08,0.02,,
S01002116,230,"3,323",-0.03,93,95,84,196,89,0.08,0.04,,
